Date,UK,Germany,France,Canada,Japan,US
1-Jun-73,12.38628774,37.83455288,18.40210104,20.09158558,40.4040404,20.27006886
1-Jul-73,12.44166977,37.97441453,18.55647997,20.34917001,40.71484071,20.31592874
1-Aug-73,12.47628774,37.97441453,18.67998733,20.60675444,41.02564103,20.68280782
1-Sep-73,12.58706299,37.97441453,18.84980204,20.69261591,42.16524217,20.7286677
1-Oct-73,12.83632128,38.25415785,19.05049887,20.77847739,42.37244237,20.91210724
1-Nov-73,12.93324264,38.74369864,19.22031357,20.95020034,42.68324268,21.04968689
1-Dec-73,13.03017518,39.09336778,19.34382094,21.03606182,44.13364413,21.18726654
1-Jan-74,13.27942229,39.37311109,19.66801457,21.20778477,45.998446,21.37070608
1-Feb-74,13.50517704,39.72278023,19.93046508,21.37950773,47.44884745,21.64586539
1-Mar-74,13.62469624,39.79271606,20.16203347,21.63709216,47.75964776,21.92102469
1-Apr-74,14.08946701,40.07244937,20.4862271,21.80881511,49.002849,22.01274446
1-May-74,14.28866567,40.28225685,20.73324183,22.2381225,49.21004921,22.28790377
1-Jun-74,14.43474096,40.42211851,20.96481022,22.40984545,49.41724942,22.4713433
1-Jul-74,14.56753261,40.56199017,21.22726073,22.5815684,50.45325045,22.65478284
1-Aug-74,14.58080507,40.63192599,21.39707544,22.83915283,50.97125097,22.92994215
1-Sep-74,14.740164,40.70186182,21.62864383,23.01087579,51.59285159,23.20510145
1-Oct-74,15.03231457,40.98159513,21.89109434,23.26846022,52.83605284,23.43440088
1-Nov-74,15.29789788,41.26133844,22.0917806,23.44018317,53.25045325,23.61784041
1-Dec-74,15.52365263,41.33127427,22.27704165,23.6977676,53.45765346,23.80127995
1-Jan-75,15.92202758,41.75087924,22.52404582,23.6977676,54.07925408,23.89299972
1-Feb-75,16.18762206,41.96068672,22.69387109,23.95535203,54.07925408,24.07643926
1-Mar-75,16.50632874,42.17048421,22.87912158,24.04121351,54.5972546,24.16815902
1-Apr-75,17.14374208,42.52016335,23.0798184,24.21293646,55.52965553,24.25987879
1-May-75,17.8608237,42.72996083,23.24963311,24.47052089,55.84045584,24.39745845
1-Jun-75,18.20609765,43.07963997,23.41944782,24.72810532,55.84045584,24.58089798
1-Jul-75,18.39200149,43.07963997,23.58927308,25.07155123,55.94405594,24.85605729
1-Aug-75,18.49823705,43.00969414,23.74365201,25.32913566,55.84045584,24.90191717
1-Sep-75,18.65759597,43.21950163,23.94434884,25.41499714,57.08365708,25.03949683
1-Oct-75,18.92317928,43.28943745,24.12959932,25.58672009,57.91245791,25.17707648
1-Nov-75,19.14893403,43.42930911,24.28397825,25.84430452,57.6016576,25.36051602
1-Dec-75,19.38796124,43.56917076,24.4229214,25.930166,57.6016576,25.45223578
1-Jan-76,19.64027208,43.9188499,24.68537191,26.01602748,58.74125874,25.49809567
