Date,UK,Germany,France,Canada,Japan,US
1-Jun-73,0.387296669,2.424999999,4.104999999,0.998399999,265.3,1
1-Jul-73,0.39793076,2.351999999,4.1281,1.001599999,263.45,1
1-Aug-73,0.406752085,2.463299999,4.324999999,1.005399999,265.3,1
1-Sep-73,0.414336027,2.415499999,4.249999999,1.005799999,265.7,1
1-Oct-73,0.4100041,2.444499999,4.2515,0.998999999,266.83,1
1-Nov-73,0.426803244,2.618499999,4.4919,0.999999999,280,1
1-Dec-73,0.430440772,2.702999999,4.7085,0.995799999,280,1
1-Jan-74,0.439174352,2.782199999,5.099999999,0.988199999,299,1
1-Feb-74,0.433745392,2.6673,4.8163,0.968799999,287.6,1
1-Mar-74,0.417710944,2.523,4.8644,0.972399999,276,1
1-Apr-74,0.411048997,2.447,4.874999999,0.960399999,279.75,1
1-May-74,0.4178855,2.528999999,4.9106,0.961999999,281.9,1
1-Jun-74,0.418322527,2.554999999,4.8229,0.972199999,284.1,1
1-Jul-74,0.420857708,2.586999999,4.6938,0.979199999,297.8,1
1-Aug-74,0.431443611,2.663999999,4.8244,0.987599999,302.7,1
1-Sep-74,0.428761309,2.652699999,4.7413,0.985799999,298.5,1
1-Oct-74,0.428485732,2.579799999,4.6946,0.984599999,299.85,1
1-Nov-74,0.430348152,2.476999999,4.632499999,0.987399999,300.1,1
1-Dec-74,0.425803705,2.409499999,4.444499999,0.991199999,300.95,1
1-Jan-75,0.420556817,2.341,4.323749999,0.999399999,297.85,1
1-Feb-75,0.412065271,2.284499999,4.168249999,0.997999999,286.6,1
1-Mar-75,0.415110004,2.345,4.215499999,1.003199999,293.8,1
1-Apr-75,0.424971315,2.377999999,4.136879999,1.019199999,293.3,1
1-May-75,0.432638228,2.346499999,4.046499999,1.022799999,291.35,1
1-Jun-75,0.454959054,2.3548,4.039999999,1.030599999,296.35,1
1-Jul-75,0.465722802,2.576499999,4.374999999,1.031799999,297.35,1
1-Aug-75,0.473709143,2.584699999,4.399629999,1.0322,297.9,1
1-Sep-75,0.489979911,2.661499999,4.535749999,1.025199999,302.7,1
1-Oct-75,0.481765188,2.555199999,4.352499999,1.0172,301.8,1
