Date,UK,Germany,France,Canada,Japan,US
1-Jan-86,0.707964602,2.3892,7.317,1.422999999,191.8,1
1-Feb-86,0.680966973,2.2185,6.83,1.4205,179.7,1
1-Mar-86,0.67326466,2.3175,7.1325,1.397299999,179.6,1
1-Apr-86,0.647123536,2.1865,6.967,1.373999999,168.3,1
1-May-86,0.674854906,2.3127,7.3655,1.3796,171.8,1
1-Jun-86,0.653466641,2.1986,7.0115,1.3867,165,1
1-Jul-86,0.6709158,2.094,6.8005,1.3793,154.3,1
1-Aug-86,0.676452682,2.052,6.7235,1.388,156.1,1
1-Sep-86,0.689655172,2.0207,6.622,1.3885,153.6,1
1-Oct-86,0.71438777,2.0676,6.592,1.3901,161.5,1
1-Nov-86,0.696233377,1.9773,6.4785,1.3838,162.4,1
1-Dec-86,0.678195999,1.9408,6.455,1.3805,159.1,1
1-Jan-87,0.653808434,1.8085,6.0335,1.3388,152.5,1
1-Feb-87,0.647542576,1.8268,6.09,1.3331,153.05,1
1-Mar-87,0.62305296,1.8051,6.013,1.3051,145.8,1
1-Apr-87,0.600492404,1.7864,5.9655,1.3368,139.5,1
1-May-87,0.61500615,1.8215,6.0735,1.3387,144,1
1-Jun-87,0.621118012,1.8299,6.1055,1.3312,147,1
1-Jul-87,0.627628193,1.8554,6.171,1.3277,149.3,1
1-Aug-87,0.615119641,1.8152,6.065,1.3192,142.4,1
1-Sep-87,0.613609867,1.8383,6.118,1.3091,146.35,1
1-Oct-87,0.583600817,1.7393,5.9,1.3159,138.6,1
1-Nov-87,0.546000546,1.6354,5.5635,1.308,132.55,1
1-Dec-87,0.534330751,1.5815,5.34,1.2998,123.5,1
1-Jan-88,0.5648122,1.6759,5.653,1.2757,127.2,1
1-Feb-88,0.564971751,1.6884,5.716,1.2604,128,1
1-Mar-88,0.531971486,1.6593,5.625,1.2341,125.4,1
1-Apr-88,0.530644733,1.6683,5.671,1.2291,124.85,1
1-May-88,0.54206418,1.7267,5.802,1.2337,125.25,1
1-Jun-88,0.58503481,1.8211,6.142,1.2127,132.4,1
1-Jul-88,0.585823081,1.881,6.3325,1.2106,132.55,1
1-Aug-88,0.594707107,1.8748,6.365,1.2398,135,1
1-Sep-88,0.593295758,1.8798,6.3955,1.2171,134.55,1
1-Oct-88,0.561797753,1.7684,6.081,1.22,125.75,1
1-Nov-88,0.541389205,1.7354,5.936,1.1886,121.75,1
1-Dec-88,0.552638851,1.7803,6.059,1.1927,125.85,1
1-Jan-89,0.567762448,1.8646,6.3393,1.1832,129.15,1
1-Feb-89,0.57477871,1.8296,6.223,1.1987,127,1
1-Mar-89,0.592136428,1.8927,6.3945,1.1932,132.05,1
1-Apr-89,0.591715976,1.8783,6.3485,1.1861,132.45,1
1-May-89,0.635606687,1.9858,6.745,1.2057,142.7,1
1-Jun-89,0.645078054,1.9525,6.636,1.1983,144.1,1
1-Jul-89,0.600889316,1.866,6.315,1.1805,138.35,1
1-Aug-89,0.636942675,1.9604,6.6065,1.1758,144.3,1
1-Sep-89,0.615308885,1.8683,6.3355,1.1783,139.3,1
1-Oct-89,0.634034999,1.8375,6.237,1.1741,142.3,1
1-Nov-89,0.637836459,1.7895,6.104,1.1632,142.95,1
1-Dec-89,0.622858922,1.6978,5.788,1.1578,143.45,1
1-Jan-90,0.594247682,1.6826,5.716,1.186,144.15,1
1-Feb-90,0.593577492,1.6918,5.725,1.1922,148.4,1
1-Mar-90,0.608716825,1.6944,5.698,1.1702,157.2,1
1-Apr-90,0.611246944,1.6803,5.6385,1.165,159.35,1
1-May-90,0.594530321,1.691,5.704,1.1741,151.7,1
1-Jun-90,0.574118728,1.6715,5.61,1.1661,152.9,1
1-Jul-90,0.539752793,1.596,5.3415,1.1528,147.35,1
1-Aug-90,0.526177322,1.5622,5.2425,1.1546,144.25,1
1-Sep-90,0.533760342,1.5641,5.2365,1.1565,137.8,1
1-Oct-90,0.514006682,1.5191,5.0885,1.1674,129.35,1
1-Nov-90,0.516208961,1.505,5.0795,1.1655,133.35,1
